ID;estado_credito;ingreso_anual;estado_verificacion;duracion_empleo;tipo_propiedad;tasa_interes;cantidad_credito;tipo_credito;plazo;categoria_crediticia
371772;Pagado;43370;Verificado;3 años;Alquilada;15.27%;20250;Consolidación de deuda; 60 meses;C
498615;Incumplido;105000;Verificado;10+ años;Alquilada;12.42%;21000;Consolidación de deuda; 36 meses;B
397751;Pagado;50000;Verificado desde la fuente;10+ años;Propia;11.71%;10000;Tarjeta de crédito; 36 meses;B
479716;Pagado;50000;No Verificado;5 años;Alquilada;11.71%;10000;Consolidación de deuda; 36 meses;B
611743;Incumplido;76000;No Verificado;1 año;Alquilada;11.71%;6000;Consumo; 36 meses;B
339607;Pagado;92000;Verificado;2 años;Hipotecada;9.91%;15000;Tarjeta de crédito; 36 meses;B
304406;Incumplido;60000;No Verificado;9 años;Alquilada;14.27%;15000;Consolidación de deuda; 36 meses;C
674898;Incumplido;50004;No Verificado;2 años;Alquilada;16.77%;5000;Otro; 60 meses;D
996698;Pagado;106000;No Verificado;10+ años;Hipotecada;11.71%;4000;Consolidación de deuda; 36 meses;B
998943;Pagado;25000;Verificado desde la fuente;< 1 año;Alquilada;11.71%;8500;Tarjeta de crédito; 36 meses;B
451723;Pagado;17108;Verificado desde la fuente;7 años;Hipotecada;7.51%;4375;Consolidación de deuda; 36 meses;A
964314;Pagado;75000;Verificado;5 años;Hipotecada;7.90%;31825;Consolidación de deuda; 36 meses;A
328214;Pagado;29120;Verificado;2 años;Alquilada;15.96%;10000;Consolidación de deuda; 60 meses;C
154298;Pagado;24044;Verificado;2 años;Alquilada;8.90%;5000;Consolidación de deuda; 36 meses;A
235766;Pagado;34000;Verificado desde la fuente;7 años;Alquilada;15.96%;7000;Tarjeta de crédito; 36 meses;C
523183;Pagado;41000;No Verificado;10+ años;Alquilada;10.65%;12400;Tarjeta de crédito; 36 meses;B
386359;Pagado;55596;Verificado desde la fuente;2 años;Alquilada;9.91%;10800;Mudanza; 36 meses;B
968759;Pagado;45000;Verificado;1 año;Alquilada;7.90%;15000;Consolidación de deuda; 36 meses;A
679977;Pagado;36852;Verificado desde la fuente;1 año;Alquilada;12.42%;6000;Consolidación de deuda; 36 meses;B
635555;Pagado;27000;Verificado;1 año;Alquilada;12.69%;12500;Consolidación de deuda; 60 meses;B
312276;Pagado;68004;Verificado desde la fuente;4 años;Alquilada;7.51%;9600;Otro; 36 meses;A
201964;Pagado;62300;No Verificado;10+ años;Alquilada;7.90%;12000;Consolidación de deuda; 36 meses;A
245132;Pagado;65000;No Verificado;9 años;Hipotecada;18.25%;3000;Otro; 36 meses;D
147840;Pagado;55000;No Verificado;10+ años;Alquilada;16.77%;4400;Consolidación de deuda; 36 meses;D
272214;Pagado;45600;No Verificado;10+ años;Hipotecada;6.03%;6000;Consolidación de deuda; 36 meses;A
306989;Pagado;80000;No Verificado;6 años;Alquilada;9.91%;14000;Negocio pequeño; 36 meses;B
980924;Incumplido;1.00E+05;Verificado desde la fuente;10+ años;Hipotecada;8.90%;5000;Consolidación de deuda; 36 meses;A
211200;Pagado;27000;Verificado;6 años;Alquilada;10.65%;10000;Otro; 36 meses;B
602379;Pagado;60000;No Verificado;10+ años;Alquilada;6.03%;10000;Tarjeta de crédito; 36 meses;A
804162;Pagado;70000;No Verificado;5 años;Alquilada;6.62%;11000;Consolidación de deuda; 36 meses;A
659465;Incumplido;80000;No Verificado;8 años;Hipotecada;9.91%;15000;Consolidación de deuda; 36 meses;B
879126;Pagado;110000;Verificado;9 años;Alquilada;9.91%;25600;Tarjeta de crédito; 36 meses;B
538820;Pagado;40000;No Verificado;< 1 año;Alquilada;10.65%;7000;Consolidación de deuda; 36 meses;B
387784;Incumplido;50000;No Verificado;4 años;Alquilada;15.96%;12000;car; 36 meses;C
381652;Pagado;46000;No Verificado;1 año;Alquilada;9.91%;12000;Tarjeta de crédito; 36 meses;B
556461;Incumplido;50000;Verificado;7 años;Alquilada;19.91%;21000;Consolidación de deuda; 60 meses;E
230783;Pagado;81000;Verificado;7 años;Alquilada;19.91%;16000;Tarjeta de crédito; 60 meses;E
366607;Pagado;39000;No Verificado;< 1 año;Propia;12.42%;10000;Consolidación de deuda; 36 meses;B
966037;Pagado;51400;No Verificado;2 años;Alquilada;10.65%;10000;Tarjeta de crédito; 36 meses;B
203017;Pagado;33000;Verificado;1 año;Hipotecada;16.77%;7100;Consolidación de deuda; 36 meses;D
134596;Pagado;30000;Verificado desde la fuente;< 1 año;Hipotecada;12.69%;13000;Consolidación de deuda; 60 meses;B
247102;Pagado;40000;Verificado;6 años;Alquilada;17.27%;17500;Negocio pequeño; 60 meses;D
883321;Pagado;50000;Verificado desde la fuente;< 1 año;Alquilada;14.65%;17675;Consolidación de deuda; 60 meses;C
682109;Pagado;62000;No Verificado;< 1 año;Alquilada;16.77%;8000;Consolidación de deuda; 36 meses;D
547649;Incumplido;45996;Verificado;10+ años;Alquilada;10.65%;10000;Consolidación de deuda; 60 meses;B
592111;Pagado;55000;No Verificado;7 años;Hipotecada;10.65%;3500;Consolidación de deuda; 36 meses;B
361838;Incumplido;30000;Verificado desde la fuente;5 años;Alquilada;17.27%;12500;Consolidación de deuda; 60 meses;D
629266;Pagado;44544;Verificado desde la fuente;4 años;Alquilada;14.27%;16425;Consolidación de deuda; 36 meses;C
907824;Incumplido;75000;Verificado desde la fuente;4 años;Alquilada;21.28%;8200;Negocio pequeño; 60 meses;F
160580;Pagado;61000;Verificado;2 años;Propia;14.65%;15000;Tarjeta de crédito; 36 meses;C
761370;Pagado;44000;Verificado;5 años;Hipotecada;17.58%;20975;Tarjeta de crédito; 60 meses;D
936359;Incumplido;75000;No Verificado;5 años;Alquilada;16.77%;6400;Consolidación de deuda; 36 meses;D
276659;Pagado;33600;No Verificado;1 año;Alquilada;13.49%;3000;Consolidación de deuda; 36 meses;C
856022;Pagado;50000;No Verificado;3 años;Alquilada;16.77%;12000;Tarjeta de crédito; 36 meses;D
949541;Pagado;150000;Verificado desde la fuente;< 1 año;Propia;8.90%;14400;Consolidación de deuda; 36 meses;A
406239;Pagado;90000;No Verificado;10+ años;Alquilada;14.65%;12000;Consolidación de deuda; 36 meses;C
941313;Pagado;48000;Verificado;10+ años;Hipotecada;13.49%;11000;Consolidación de deuda; 36 meses;C
329831;Pagado;75000;Verificado;< 1 año;Alquilada;21.67%;7250;Consolidación de deuda; 60 meses;F
439030;Pagado;52000;No Verificado;1 año;Hipotecada;7.90%;15000;Negocio pequeño; 36 meses;A
682496;Pagado;65000;No Verificado;10+ años;Hipotecada;19.91%;18000;Consolidación de deuda; 60 meses;E
253659;Pagado;150000;Verificado;3 años;Hipotecada;17.27%;35000;Remodelación de vivienda; 60 meses;D
341004;Pagado;68000;Verificado desde la fuente;2 años;Alquilada;14.27%;10000;Tarjeta de crédito; 36 meses;C
791129;Pagado;42000;Verificado desde la fuente;6 años;Alquilada;12.69%;11800;Tarjeta de crédito; 36 meses;B
187855;Pagado;53000;Verificado desde la fuente;4 años;Alquilada;6.03%;4500;Consumo; 36 meses;A
886165;Pagado;35000;Verificado desde la fuente;10+ años;Alquilada;12.69%;7000;Tarjeta de crédito; 36 meses;B
499452;Pagado;60000;Verificado desde la fuente;2 años;Alquilada;12.42%;9200;Consolidación de deuda; 36 meses;B
966174;Pagado;28000;Verificado;4 años;Alquilada;17.27%;14000;Otro; 60 meses;D
444230;Pagado;42000;Verificado desde la fuente;< 1 año;Hipotecada;10.65%;4500;car; 60 meses;B
169197;Pagado;88365;Verificado;9 años;Alquilada;16.29%;12000;Consolidación de deuda; 36 meses;D
164340;Pagado;72000;Verificado desde la fuente;4 años;Alquilada;13.49%;12000;Consolidación de deuda; 36 meses;C
815297;Pagado;62000;Verificado;< 1 año;Alquilada;10.65%;12000;Tarjeta de crédito; 36 meses;B
905022;Pagado;43680;No Verificado;3 años;Hipotecada;10.65%;7000;Tarjeta de crédito; 36 meses;B
648839;Pagado;120000;Verificado desde la fuente;3 años;Alquilada;19.42%;8200;Consolidación de deuda; 60 meses;E
748431;Pagado;66000;Verificado;10+ años;Alquilada;12.69%;10500;Causa médica; 36 meses;B
975689;Pagado;39120;No Verificado;4 años;Propia;11.71%;7000;Consolidación de deuda; 36 meses;B
801412;Pagado;85000;Verificado;6 años;Alquilada;22.06%;15300;Tarjeta de crédito; 60 meses;F
755980;Pagado;47800;Verificado;4 años;Hipotecada;11.71%;20000;Consolidación de deuda; 60 meses;B
932241;Incumplido;45000;No Verificado;7 años;Hipotecada;17.27%;17500;Tarjeta de crédito; 60 meses;D
571349;Pagado;83000;Verificado;10+ años;Hipotecada;6.03%;3500;car; 36 meses;A
764780;Pagado;81000;Verificado desde la fuente;< 1 año;Alquilada;12.69%;6000;Consumo; 60 meses;B
380472;Incumplido;25000;No Verificado;2 años;Alquilada;9.91%;6200;Consolidación de deuda; 36 meses;B
744782;Pagado;65000;No Verificado;7 años;Alquilada;17.58%;16000;Consolidación de deuda; 60 meses;D
209310;Pagado;28800;No Verificado;8 años;Propia;8.90%;6000;Consolidación de deuda; 36 meses;A
880234;Pagado;135000;No Verificado;6 años;Alquilada;9.91%;7200;Tarjeta de crédito; 36 meses;B
934823;Pagado;50000;No Verificado;7 años;Hipotecada;8.90%;9500;Tarjeta de crédito; 36 meses;A
236939;Incumplido;38000;Verificado;10+ años;Alquilada;16.77%;18825;Consolidación de deuda; 60 meses;D
765267;Pagado;45000;Verificado;10+ años;Alquilada;10.65%;24000;Consolidación de deuda; 36 meses;B
992278;Pagado;80000;No Verificado;10+ años;Alquilada;13.49%;6000;Consolidación de deuda; 36 meses;C
191315;Pagado;50000;No Verificado;5 años;Alquilada;13.49%;6000;Consolidación de deuda; 36 meses;C
537975;Pagado;30000;No Verificado;10+ años;Hipotecada;12.42%;2100;Vacaciones; 36 meses;B
213642;Pagado;110000;Verificado;8 años;Hipotecada;6.62%;5500;Negocio pequeño; 36 meses;A
435233;Pagado;45608;Verificado desde la fuente;8 años;Propia;6.62%;11000;Consolidación de deuda; 36 meses;A
816411;Pagado;120000;Verificado;3 años;Hipotecada;20.89%;26800;Consolidación de deuda; 60 meses;F
186376;Pagado;35000;No Verificado;5 años;Hipotecada;12.69%;8000;Consolidación de deuda; 36 meses;B
266215;Incumplido;75000;Verificado desde la fuente;1 año;Alquilada;18.25%;10000;Tarjeta de crédito; 36 meses;D
681828;Pagado;35000;Verificado;9 años;Hipotecada;11.71%;8000;Tarjeta de crédito; 36 meses;B
480477;Pagado;24000;Verificado;6 años;Alquilada;8.90%;10000;Consolidación de deuda; 36 meses;A
647069;Pagado;126000;No Verificado;2 años;Hipotecada;11.71%;12000;Consolidación de deuda; 36 meses;B
727907;Pagado;43000;No Verificado;1 año;Alquilada;7.90%;10000;Consolidación de deuda; 36 meses;A
148770;Pagado;50000;No Verificado;1 año;Alquilada;9.91%;12000;Consolidación de deuda; 36 meses;B
129990;Incumplido;67000;Verificado;10+ años;Hipotecada;13.49%;25000;Tarjeta de crédito; 60 meses;C
490033;Incumplido;45000;Verificado;4 años;Alquilada;10.65%;19750;Consolidación de deuda; 36 meses;B
811773;Pagado;31200;Verificado desde la fuente;3 años;Alquilada;9.91%;10000;Consolidación de deuda; 36 meses;B
500469;Pagado;66000;Verificado;4 años;Alquilada;12.42%;13650;Consolidación de deuda; 36 meses;B
595497;Incumplido;52000;Verificado;10+ años;Alquilada;19.91%;28000;Consolidación de deuda; 60 meses;E
361488;Pagado;56964;Verificado desde la fuente;10+ años;Alquilada;7.90%;18000;Consolidación de deuda; 36 meses;A
379674;Pagado;49500;Verificado desde la fuente;7 años;Alquilada;14.27%;2500;Consolidación de deuda; 36 meses;C
224959;Pagado;70000;Verificado;10+ años;Alquilada;20.30%;21000;Tarjeta de crédito; 60 meses;E
538624;Pagado;125000;Verificado;6 años;Hipotecada;8.90%;35000;Consolidación de deuda; 36 meses;A
856160;Pagado;33000;No Verificado;3 años;Alquilada;7.51%;10000;Tarjeta de crédito; 36 meses;A
238015;Pagado;30000;Verificado desde la fuente;< 1 año;Alquilada;12.69%;7000;Tarjeta de crédito; 36 meses;B
695784;Incumplido;90000;Verificado desde la fuente;8 años;Hipotecada;15.96%;24000;Remodelación de vivienda; 36 meses;C
189825;Pagado;23000;No Verificado;5 años;Hipotecada;7.51%;10625;Causa médica; 36 meses;A
892750;Pagado;24000;Verificado desde la fuente;2 años;Alquilada;14.65%;5000;Consolidación de deuda; 36 meses;C
966651;Pagado;62000;Verificado desde la fuente;10+ años;Alquilada;6.62%;8850;Tarjeta de crédito; 36 meses;A
945569;Pagado;44000;Verificado desde la fuente;4 años;Alquilada;7.51%;6375;Consolidación de deuda; 36 meses;A
321725;Pagado;90000;No Verificado;1 año;Alquilada;11.71%;6000;Tarjeta de crédito; 36 meses;B
714814;Incumplido;41000;Verificado;10+ años;Alquilada;6.62%;11100;Tarjeta de crédito; 36 meses;A
725311;Pagado;56000;Verificado desde la fuente;2 años;Hipotecada;12.69%;10000;Consolidación de deuda; 60 meses;B
511976;Pagado;26500;No Verificado;5 años;Hipotecada;6.03%;6200;Negocio pequeño; 36 meses;A
651651;Pagado;54000;No Verificado;1 año;Alquilada;18.64%;15000;Consolidación de deuda; 36 meses;E
622689;Pagado;53000;No Verificado;2 años;Alquilada;11.71%;4200;Otro; 36 meses;B
477381;Pagado;52800;No Verificado;4 años;Alquilada;14.27%;14000;Consolidación de deuda; 36 meses;C
718996;Pagado;38000;No Verificado;1 año;Hipotecada;7.51%;8875;Consolidación de deuda; 36 meses;A
788838;Pagado;38000;Verificado;7 años;Alquilada;9.91%;13500;Consolidación de deuda; 36 meses;B
760935;Incumplido;42000;No Verificado;2 años;Alquilada;9.91%;12000;Consolidación de deuda; 36 meses;B
729736;Pagado;55000;Verificado;4 años;Alquilada;19.91%;16000;Consolidación de deuda; 60 meses;E
788502;Pagado;60000;Verificado desde la fuente;8 años;Hipotecada;19.42%;21600;Consolidación de deuda; 60 meses;E
298991;Pagado;87000;No Verificado;6 años;Hipotecada;10.65%;6000;Remodelación de vivienda; 36 meses;B
730930;Pagado;25000;Verificado;5 años;Propia;16.77%;8450;Consolidación de deuda; 60 meses;D
423344;Pagado;82000;No Verificado;1 año;Alquilada;13.49%;20000;Tarjeta de crédito; 60 meses;C
519623;Incumplido;60000;No Verificado;8 años;Alquilada;11.71%;10000;Consolidación de deuda; 36 meses;B
981164;Pagado;80000;Verificado;5 años;Hipotecada;16.29%;12000;Tarjeta de crédito; 36 meses;D
694094;Incumplido;25000;Verificado;10+ años;Alquilada;13.49%;13475;Tarjeta de crédito; 60 meses;C
515189;Pagado;48000;No Verificado;5 años;Alquilada;12.42%;7200;Consumo; 36 meses;B
920857;Incumplido;85000;No Verificado;1 año;Hipotecada;14.65%;5600;Consolidación de deuda; 36 meses;C
401086;Pagado;57000;Verificado;< 1 año;Alquilada;14.27%;12000;Consolidación de deuda; 36 meses;C
210432;Pagado;25000;No Verificado;2 años;Alquilada;6.03%;8500;Tarjeta de crédito; 36 meses;A
469247;Pagado;34000;Verificado desde la fuente;2 años;Alquilada;9.91%;8000;Tarjeta de crédito; 36 meses;B
679040;Pagado;40000;No Verificado;10+ años;Alquilada;12.42%;8000;Tarjeta de crédito; 36 meses;B
648886;Pagado;42656.4;Verificado desde la fuente;10+ años;Alquilada;15.27%;16000;Consolidación de deuda; 60 meses;C
940520;Pagado;44400;Verificado desde la fuente;2 años;Hipotecada;17.27%;15000;Compra de vivienda; 36 meses;D
744766;Pagado;30000;No Verificado;2 años;Propia;9.91%;10000;Consolidación de deuda; 36 meses;B
645243;Pagado;70000;No Verificado;5 años;Hipotecada;6.62%;10000;Tarjeta de crédito; 36 meses;A
895903;Pagado;28000;No Verificado;3 años;Alquilada;14.65%;8000;car; 36 meses;C
776835;Pagado;50000;Verificado;2 años;Hipotecada;9.91%;22000;Consolidación de deuda; 36 meses;B
655041;Pagado;94800;Verificado;10+ años;Hipotecada;14.27%;6000;car; 36 meses;C
925007;Pagado;40000;Verificado;10+ años;Propia;9.91%;16000;Consolidación de deuda; 60 meses;B
959836;Pagado;36000;Verificado desde la fuente;2 años;Hipotecada;9.91%;13500;Tarjeta de crédito; 36 meses;B
166925;Pagado;225000;Verificado;2 años;Alquilada;12.42%;25000;Consolidación de deuda; 36 meses;B
405163;Pagado;45900;Verificado;2 años;Alquilada;13.49%;10000;Negocio pequeño; 36 meses;C
847871;Pagado;27200;No Verificado;4 años;Alquilada;13.49%;2500;Consolidación de deuda; 36 meses;C
792255;Pagado;42000;No Verificado;1 año;Alquilada;12.69%;7325;Consolidación de deuda; 36 meses;B
662180;Pagado;135000;Verificado;5 años;Alquilada;12.42%;4000;Tarjeta de crédito; 36 meses;B
803374;Incumplido;65000;No Verificado;5 años;Alquilada;13.49%;10000;Negocio pequeño; 36 meses;C
910016;Incumplido;24000;No Verificado;< 1 año;Alquilada;17.27%;7750;Consolidación de deuda; 36 meses;D
930964;Incumplido;70000;Verificado desde la fuente;6 años;Alquilada;20.89%;20000;Consolidación de deuda; 60 meses;F
191756;Pagado;65000;Verificado;10+ años;Alquilada;12.42%;9600;Consolidación de deuda; 36 meses;B
688615;Incumplido;60000;No Verificado;3 años;Alquilada;11.71%;21000;Consolidación de deuda; 60 meses;B
411263;Pagado;30000;Verificado desde la fuente;3 años;Alquilada;10.65%;14000;Tarjeta de crédito; 36 meses;B
137517;Pagado;43000;No Verificado;10+ años;Alquilada;12.42%;13350;Consolidación de deuda; 36 meses;B
602556;Incumplido;42000;Verificado;10+ años;Alquilada;16.77%;15000;Consolidación de deuda; 36 meses;D
201677;Incumplido;75000;Verificado desde la fuente;8 años;Alquilada;17.27%;15000;Consolidación de deuda; 36 meses;D
480041;Pagado;129000;Verificado;10+ años;Hipotecada;13.49%;11000;Consolidación de deuda; 60 meses;C
168269;Pagado;168000;Verificado;2 años;Hipotecada;10.65%;35000;Consolidación de deuda; 36 meses;B
747835;Pagado;74000;Verificado desde la fuente;9 años;Hipotecada;10.65%;9000;Tarjeta de crédito; 36 meses;B
553987;Pagado;52000;Verificado;7 años;Hipotecada;15.27%;22475;Consolidación de deuda; 60 meses;C
249820;Incumplido;58500;Verificado desde la fuente;1 año;Alquilada;12.69%;16000;Consolidación de deuda; 36 meses;B
456808;Pagado;71000;Verificado desde la fuente;5 años;Alquilada;12.69%;13500;Consolidación de deuda; 36 meses;B
417537;Pagado;75000;Verificado;10+ años;Alquilada;12.69%;24000;Consolidación de deuda; 36 meses;B
244729;Pagado;60000;No Verificado;5 años;Alquilada;10.65%;12000;Tarjeta de crédito; 36 meses;B
881456;Pagado;87996;No Verificado;5 años;Alquilada;16.77%;8400;Consumo; 60 meses;D
401791;Pagado;140000;Verificado;5 años;Hipotecada;17.58%;28000;Remodelación de vivienda; 60 meses;D
950249;Pagado;66000;Verificado desde la fuente;10+ años;Alquilada;6.62%;14000;Consolidación de deuda; 36 meses;A
669283;Incumplido;70000;No Verificado;8 años;Hipotecada;14.27%;12000;Otro; 36 meses;C
852523;Pagado;1.00E+05;Verificado;10+ años;Hipotecada;11.71%;25000;Consolidación de deuda; 36 meses;B
952488;Pagado;50000;Verificado desde la fuente;5 años;Alquilada;12.69%;9000;Consolidación de deuda; 36 meses;B
989036;Pagado;35000;No Verificado;4 años;Alquilada;10.65%;13250;Consolidación de deuda; 36 meses;B
364755;Pagado;75000;Verificado;6 años;Alquilada;13.49%;20000;Consolidación de deuda; 36 meses;C
698666;Pagado;71000;Verificado;5 años;Alquilada;14.65%;3000;Causa médica; 36 meses;C
662152;Pagado;48000;No Verificado;10+ años;Hipotecada;10.65%;7350;Consolidación de deuda; 36 meses;B
588763;Pagado;36000;No Verificado;5 años;Alquilada;15.27%;11500;Consolidación de deuda; 36 meses;C
905739;Incumplido;86000;No Verificado;10+ años;Hipotecada;12.42%;13650;Consolidación de deuda; 36 meses;B
216735;Incumplido;30000;Verificado desde la fuente;3 años;Alquilada;16.29%;10500;Consolidación de deuda; 36 meses;D
684591;Pagado;60000;No Verificado;2 años;Alquilada;9.91%;12000;Consolidación de deuda; 36 meses;B
369603;Pagado;34000;No Verificado;3 años;Alquilada;8.90%;6000;Tarjeta de crédito; 36 meses;A
431243;Pagado;44200;Verificado;10+ años;Hipotecada;15.27%;11500;Tarjeta de crédito; 36 meses;C
131503;Pagado;82000;No Verificado;7 años;Hipotecada;12.42%;7000;Consolidación de deuda; 36 meses;B
613946;Pagado;83000;Verificado desde la fuente;6 años;Hipotecada;20.30%;29500;Consolidación de deuda; 60 meses;E
303800;Pagado;41000;Verificado;2 años;Alquilada;15.27%;2000;Mudanza; 36 meses;C
631039;Pagado;36000;Verificado desde la fuente;< 1 año;Hipotecada;13.49%;11625;Tarjeta de crédito; 36 meses;C
373668;Incumplido;35000;Verificado;10+ años;Alquilada;14.27%;15075;Consolidación de deuda; 36 meses;C
700930;Pagado;30000;Verificado;1 año;Alquilada;15.27%;5300;Tarjeta de crédito; 36 meses;C
652226;Pagado;40000;Verificado desde la fuente;< 1 año;Alquilada;6.62%;8200;Remodelación de vivienda; 36 meses;A
425103;Pagado;105000;No Verificado;9 años;Hipotecada;12.42%;12000;Tarjeta de crédito; 36 meses;B
883900;Pagado;45000;Verificado desde la fuente;4 años;Hipotecada;14.27%;8650;Tarjeta de crédito; 36 meses;C
774480;Pagado;109000;Verificado;10+ años;Hipotecada;17.27%;21000;Consolidación de deuda; 60 meses;D
187288;Pagado;50000;Verificado desde la fuente;2 años;Alquilada;17.27%;16000;Consolidación de deuda; 60 meses;D
861655;Pagado;83000;No Verificado;2 años;Alquilada;12.42%;12000;Consolidación de deuda; 36 meses;B
734459;Incumplido;52500;Verificado desde la fuente;< 1 año;Hipotecada;12.69%;9500;Mudanza; 36 meses;B
385096;Pagado;25000;Verificado desde la fuente;< 1 año;Propia;13.49%;7400;Consolidación de deuda; 36 meses;C
624563;Pagado;60000;No Verificado;10+ años;Hipotecada;13.49%;14400;Consolidación de deuda; 36 meses;C
118895;Pagado;120000;Verificado;7 años;Hipotecada;23.91%;24250;Consolidación de deuda; 60 meses;G
701708;Incumplido;68000;Verificado desde la fuente;3 años;Alquilada;7.90%;7200;Consolidación de deuda; 36 meses;A
756099;Incumplido;53000;Verificado;10+ años;Hipotecada;16.77%;26000;Remodelación de vivienda; 60 meses;D
620325;Incumplido;69600;Verificado;6 años;Hipotecada;11.71%;7000;Tarjeta de crédito; 60 meses;B
843106;Pagado;65000;Verificado desde la fuente;< 1 año;Alquilada;7.51%;4000;Consumo; 36 meses;A
713150;Pagado;144000;Verificado;10+ años;Hipotecada;17.27%;1500;Consolidación de deuda; 36 meses;D
453230;Pagado;75000;Verificado;2 años;Alquilada;12.42%;19600;Tarjeta de crédito; 36 meses;B
120698;Pagado;29000;Verificado;7 años;Hipotecada;11.71%;2500;Consolidación de deuda; 36 meses;B
141258;Incumplido;70000;No Verificado;2 años;Alquilada;12.69%;10000;Tarjeta de crédito; 36 meses;B
220400;Pagado;45000;No Verificado;5 años;Alquilada;6.62%;10000;Tarjeta de crédito; 36 meses;A
257116;Pagado;55200;No Verificado;5 años;Hipotecada;12.42%;4225;Otro; 36 meses;B
646565;Pagado;61440;No Verificado;7 años;Hipotecada;7.90%;3500;Vacaciones; 36 meses;A
143324;Pagado;56000;No Verificado;10+ años;Hipotecada;6.62%;12000;Consolidación de deuda; 36 meses;A
219075;Pagado;47000;Verificado desde la fuente;< 1 año;Alquilada;8.90%;16500;Consolidación de deuda; 36 meses;A
255969;Pagado;55000;Verificado;< 1 año;Alquilada;21.67%;22000;Consolidación de deuda; 60 meses;F
471050;Pagado;71000;Verificado;1 año;Alquilada;14.65%;12000;Tarjeta de crédito; 36 meses;C
218071;Incumplido;50000;Verificado desde la fuente;10+ años;Alquilada;12.69%;15600;Vacaciones; 60 meses;B
745201;Pagado;135000;Verificado;8 años;Alquilada;12.42%;10800;Tarjeta de crédito; 36 meses;B
300897;Pagado;63000;No Verificado;10+ años;Hipotecada;12.42%;14000;Tarjeta de crédito; 36 meses;B
570549;Pagado;44000;Verificado;4 años;Hipotecada;17.58%;18825;Consolidación de deuda; 60 meses;D
739782;Pagado;50000;No Verificado;5 años;Hipotecada;13.49%;6000;Consolidación de deuda; 36 meses;C
636308;Pagado;80000;No Verificado;5 años;Alquilada;9.91%;12000;Consolidación de deuda; 36 meses;B
608585;Pagado;45000;No Verificado;4 años;Alquilada;12.42%;10000;Consolidación de deuda; 36 meses;B
327342;Pagado;78000;No Verificado;2 años;Alquilada;7.90%;8000;Vacaciones; 36 meses;A
273276;Pagado;33000;Verificado;1 año;Alquilada;9.91%;14125;Consolidación de deuda; 36 meses;B
152882;Pagado;62800;No Verificado;5 años;Alquilada;12.69%;14000;Consolidación de deuda; 36 meses;B
313162;Pagado;26400;Verificado desde la fuente;3 años;Alquilada;17.27%;13200;Negocio pequeño; 60 meses;D
279182;Pagado;80000;No Verificado;10+ años;Hipotecada;19.03%;4000;Vacaciones; 36 meses;E
122618;Incumplido;25000;No Verificado;2 años;Alquilada;12.69%;4000;Consolidación de deuda; 36 meses;B
999852;Pagado;65000;Verificado desde la fuente;10+ años;Hipotecada;6.03%;10500;Consolidación de deuda; 36 meses;A
440410;Pagado;59000;Verificado desde la fuente;10+ años;Propia;7.90%;5500;car; 36 meses;A
145311;Pagado;33000;Verificado;1 año;Alquilada;11.71%;7350;Consolidación de deuda; 36 meses;B
